establishment_name,address,district,inspection_date,establishment_grade
DUNKIN DONUTS (23698),622 W WISCONSIN AV,4,3/19/2019,A
DUNKIN DONUTS (26075),151 W LAYTON AV,13,9/13/2019,A
DUNKIN DONUTS (27059),4550 S 27TH ST,13,7/25/2018,A
DUNKIN DONUTS- 76TH ST,7272 N 76TH ST,9,1/10/2020,A
DUNKIN' DONUTS,111 E WISCONSIN AV,4,1/22/2020,A
EAGLE PARK BREWING COMPANY,823 E HAMILTON ST,3,8/25/2020,A
EAGLES FOOD,1401 W CENTER ST,15,12/11/2019,A
EAST END,700 N ART MUSEUM DR,10,7/3/2019,A
EAST SIDE FOOD MART,432 E CHAMBERS ST,,2/25/2020,T
EASTBROOK ACADEMY,5375 N GREEN BAY AV,1,10/9/2019,A
EASY TYGER RESTAURANT,1230 E BRADY ST,3,9/19/2019,A
EAT CAKE,4303 W VLIET ST,10,10/24/2019,A
ECONO LODGE,6451 S 13TH ST,13,8/27/2019,A
ED'S LOUNGE,2678 N 6TH ST,6,11/19/2019,A
EDIBLE ARRANGEMENTS,722 N WATER ST,4,11/7/2019,A
EE DANE THAI LAO CUISINE,1806 N FARWELL AV,3,5/15/2019,A
EGG & FLOUR PASTA BAR,2238 N FARWELL AV,,11/26/2019,A
EGGS & BAKIN',621 S 4TH ST,12,6/4/2018,A
EINSTEIN BROS BAGELS #1373,544 E OGDEN AV,4,1/8/2020,A
EINSTEIN BROS. BAGELS #1372,3129 S 27TH ST,11,6/5/2019,A
EL CHARRO LIQUOR STORE,1207 S CESAR E CHAVEZ DR,12,1/7/2020,A
EL FLAMBOYAN BAKERY,2131 S MUSKEGO AV,8,12/17/2019,A
EL FUEGO,909 W LAYTON AV,13,10/24/2019,A
EL GRECO,9143 W APPLETON AV,5,6/6/2019,A
EL GRUEPO J & K,2207 E NORTH AV,,8/19/2019,A
EL JIMADOR RESTAURANT,3447 W FOREST HOME AV,11,2/20/2020,A
EL MANANTIAL,604 W HISTORIC MITCHELL ST,12,7/13/2018,Temporarily Closed
EL PASO FOODS,1559 S 3RD ST,12,4/18/2019,A
EL RENAMPA MEXICAN GRILL & CANTINA,8660 N 107TH ST,9,3/20/2018,B
EL REY FAMILY MARKET,5200 W OKLAHOMA AV,11,12/18/2019,A
EL REY FOOD MART,1320 W BURNHAM ST,12,7/7/2020,A
EL REY MEXICAN PRODUCTS,916 S CESAR E CHAVEZ DR,12,10/31/2019,A
EL REY PLAZA SUPERMARKET,3524 W BURNHAM ST,8,7/23/2019,A
EL RINCON CRIOLLO,1408 W WINDLAKE AV,12,8/6/2019,A
EL RINCON CRIOLLO,1408 W WINDLAKE AV,12,1/29/2018,B
EL RINCON CRIOLLO (ID #0165),1408 W WINDLAKE AV,12,6/15/2018,MA
EL RINCON CRIOLLO ID #0522,1408 W WINDLAKE AV,12,8/21/2019,MA
EL RINCON CRIOLLO ID #0522,1408 W WINDLAKE AV,12,8/21/2019,MT
EL RINCON GROCERY AND LIQUOR,1201 S 33RD ST,8,1/13/2020,A
EL RINCON GROCERY AND LIQUOR,1201 S 33RD ST,8,1/13/2020,P
EL RINCON GROCERY AND LIQUOR,1201 S 33RD ST,8,1/23/2018,A
EL SALVADOR RESTAURANT,2316 S 6TH ST,14,1/7/2020,A
EL SENORIAL,1901 S 31ST ST,8,9/18/2019,A
EL SOL,1716 S MUSKEGO AV,8,12/9/2019,A
EL TACO FELIZ (ID #0135),1039 W NATIONAL AV,12,8/13/2019,MA
EL TAPAITO (ID #0891),1701 W LINCOLN AV,12,9/19/2019,MA
EL TAPATIO (ID #0893),1701 W LINCOLN AV,12,8/28/2019,MA
EL TAPATIO (ID #0894),1701 W LINCOLN AV,12,7/29/2019,MA
EL TENAMPA MEXICAN GRILL & CANTINA,8660 N 107TH ST,9,4/22/2019,A
EL TLAXCALTECA RESTAURANT,1300 W BURNHAM ST,12,6/29/2020,A
EL TSUNAMI,2001 W LINCOLN AV,8,4/26/2019,Pending
EL TSUNAMI,2001 W LINCOLN AV,8,4/26/2019,A
EL TUCANAZO TAQUERIA Y MARISCOS,3261 S 13TH ST,14,9/19/2019,A
ELEPHANT CAFE,1505 N FARWELL AV,3,3/12/2020,A
ELOTES CALIENTES #0228,3001 S KINNICKINNIC AV,,6/9/2019,MT
ELOTES FRUTAS AGUS #0533,830 W GREENFIELD AV,12,11/7/2018,MT
ELOTES FRUTAS AGUS #0534,830 W GREENFIELD AV,12,9/7/2018,MA
ELOTES FRUTAS AGUS #0534,830 W GREENFIELD AV,12,9/7/2018,MT
ELOTES FRUTAS AGUS #0536,830 W GREENFIELD AV,12,3/5/2020,MA
ELOTES Y FRUTAS ALVAREZ #0881,916 S CESAR E CHAVEZ DR,,7/5/2019,MA
ELOTES Y FRUTAS ALVAREZ #0882,916 S CESAR E CHAVEZ DR,12,7/23/2019,MA
ELSA'S ON THE PARK,833 N JEFFERSON ST,4,4/22/2019,A
EMERALD CITY CATERING AND EVENTS,3555 S 13TH ST,13,2/7/2020,P
EMPEROR OF CHINA,1010 E BRADY ST,3,7/21/2020,A
ENGINE CO NO 3,217 W NATIONAL AV,12,11/22/2019,A
ESTABROOK BEER GARDEN,435 W HAMPTON AVE,,9/5/2019,A
ETHIOPIAN COTTAGE RESTAURANT,1824 N FARWELL AV,3,10/8/2019,A
EUREST DINING SERVICES,720 E WISCONSIN AV,4,10/28/2019,A
EXPRESS CONVENIENCE,9109 W BURLEIGH ST,5,1/24/2019,A
EXPRESS GYROS,5130 W HAMPTON AV,1,1/14/2019,A
EXPRESS LIQUOR,3833 N TEUTONIA AV,,2/24/2020,A
EXPRESS LIQUOR & TOBACCO,6859 N TEUTONIA AV,,6/3/2019,A
EXPRESS PANTRY,2719 N BLAINE PL,10,9/4/2020,A
EXPRESS PANTRY (22035),1804 W LINCOLN AV,12,7/3/2019,A
EXPRESS PANTRY (27891),5656 N 76TH ST,2,3/8/2019,A
FAIRFIELD INN & SUITES BY MARRIOT,710 N OLD WORLD THIRD ST,,7/1/2019,A
FAIRVIEW TAP,6712 W FAIRVIEW AV,10,6/29/2020,A
FAITH GROCERIES,3451 N 23RD ST,6,7/9/2020,A
FALAFEL GUYS,2238 N FARWELL AV,3,7/1/2019,A
FALCON,1530 W STATE ST,4,8/12/2019,A
FAMILY CENTER,6630 W HAMPTON AV,,12/9/2019,A
FAMILY DOLLAR #21554,6000 W SILVER SPRING DR,9,12/18/2019,A
FAMILY DOLLAR #24736,6201 N TEUTONIA AV,1,12/3/2019,A
FAMILY DOLLAR #25469,2510 W CENTER ST,15,6/22/2020,P
FAMILY DOLLAR #25469,2510 W CENTER ST,15,6/22/2020,A
FAMILY DOLLAR #26182,930 N 27TH ST,4,1/15/2020,A
FAMILY DOLLAR #26251,3334 N HOLTON ST,6,1/13/2020,A
FAMILY DOLLAR #26293,3045 S 13TH ST,14,2/19/2020,A
FAMILY DOLLAR #26387,6015 W FOREST HOME AV,11,4/2/2019,A
FAMILY DOLLAR #26394,3937 S 76TH ST,11,4/1/2019,A
FAMILY DOLLAR #26587,2012 W CAPITOL DR,1,8/21/2019,A
FAMILY DOLLAR #26832,5808 W HAMPTON AV,7,2/27/2019,Pending
FAMILY DOLLAR #28545,1023 S CESAR E CHAVEZ DR,12,1/16/2020,A
FAMILY DOLLAR #29418,9014 W APPLETON AV,2,6/17/2019,A
FAMILY DOLLAR #30580,121 W OKLAHOMA AV,14,12/5/2019,T
FAMILY DOLLAR #31784,2117 W CENTER ST,15,6/9/2020,A
FAMILY DOLLAR #3794,6450 N 76TH ST,9,4/29/2019,A
FAMILY DOLLAR #4325,7616 W HAMPTON AV,5,1/15/2019,A
FAMILY DOLLAR #5963,5428 W NORTH AV,10,10/3/2019,A
FAMILY DOLLAR #6394,3937 S 76TH ST,11,1/31/2018,A
FAMILY DOLLAR #6433,7924 W BURLEIGH ST,5,11/25/2019,A
FAMILY DOLLAR #6531,8917 W BROWN DEER RD,9,1/15/2019,A
FAMILY DOLLAR STORE #231816,1201 W HISTORIC MITCHELL ST,12,4/17/2018,A
FAMILY DOLLAR STORE #23350,741 S LAYTON BL,8,9/24/2019,P
FAMILY DOLLAR STORE #23350,741 S LAYTON BL,8,9/24/2019,A
FAMILY DOLLAR STORE #31816,1201 W HISTORIC MITCHELL ST,12,10/15/2019,A
FAMILY FOOD MARKET,2803 N 35TH ST,15,11/12/2019,B
FAMILY FOOD MARKET,2803 N 35TH ST,15,11/12/2019,A
FAMILY FOODS,8328 W BROWN DEER RD,9,6/26/2019,A
FAMILY GROCERY STORE,5160 W FOREST HOME AV,11,6/27/2019,A
FAMILY SUPERSAVER,2301 W HOPKINS ST,6,9/10/2019,A
FAMOUS FAMIGLIA PIZZA- CONCESSIONS MALL,5300 S HOWELL AV,13,7/3/2019,A
FANCY'S KITCHEN ID #0020,7276 N TEUTONIA AV,1,9/5/2018,MT
FARMERS MARKET- MILWAUKEE COUNTY ZOO,10001 W BLUE MOUND RD,10,5/30/2018,A
FARMFORK CATERING,2014 W NORTH AV,,9/20/2019,A
FAST BREAK CAFE,551 W BECHER ST,14,5/23/2019,A
FAST N FRIENDLY MARKET,311 E LOCUST ST,6,7/8/2020,A
FAST STOP FOOD MARKET,3611 W VLIET ST,15,1/21/2020,A
FAT DADDY'S,120 E NATIONAL AV,12,11/11/2019,A
FAT VALDY'S,5108 W BLUE MOUND RD,10,6/12/2019,A
FATEH PETROLUM,3476 N HOLTON ST,6,6/16/2020,A
FAUNTLEROY,316 N MILWAUKEE ST #100,4,3/10/2020,A
FC-1 ZAFFIRO'S PIZZA DOOR #2815,201 S 46TH ST,10,7/27/2019,A
FC-12 TACOS DOOR #2517,201 S 46TH ST,,7/25/2018,A
FC-21 SMOKE SHAKE BBQ #2203,201 S 46TH ST,,7/27/2019,A
FIESTA CAFE,1407 S 1ST ST,12,10/15/2019,A
FIESTA CAFE FOOD TRUCK,1407 S 1ST ST,,5/28/2020,MT
FIESTA GARIBALDI,821 W LINCOLN AV,12,12/23/2019,A
FINAL APPROACH,4959 S HOWELL AV,13,12/20/2019,P
FIRE ON WATER,518 N WATER ST,4,11/1/2019,A
FIRE PIT GRILL- POTAWATOMI BINGO CASINO/ POTAWATOMI CASINO,1611 W CANAL ST,8,7/16/2020,A
FIRST STOP FOODS,1330 S 35TH ST,8,9/18/2019,A
FIVE O'CLOCK STEAK HOUSE,2416 W STATE ST,4,2/18/2020,T
FIVESTAR NACHO #4292,2737 N 20TH ST,,8/5/2019,MT
FIXTURE PIZZA PUB,623 S 2ND ST,12,9/17/2019,A
FIYAHSIDE,3709 W VILLARD AV,1,2/6/2020,A
FLAMINGO,10001 W BLUE MOUND RD,,5/30/2019,A
FLAMINGO,10001 W BLUE MOUND RD,,5/30/2019,Pending
FLANNERY'S BAR & RESTAURANT,425 E WELLS ST,4,2/21/2020,P
FLIK INDEPENDENT DINING/PIUS XI HIGH SCHOOL,135 N 76TH ST,10,9/17/2019,A
FLIK INDEPENDENT SCHOOL DINING,3401 W WISCONSIN AV,4,9/18/2019,A
FLIK INDEPENDENT SCHOOL DINING,3401 W WISCONSIN AV,4,4/29/2019,A
FLOUR SHOP (UNION BLDG. FOOD COURT) RESTAURANT OPERATIONS- UNIVERSITY OF WISCONSIN MILWAUKEE,2200 E KENWOOD BL,3,2/5/2020,A
FLYING EAGLE,5072 S 27TH ST,13,1/22/2020,A
FOLEY & LARDNER LLP,777 E WISCONSIN AV,4,8/13/2019,A
FOLTZ FAMILY MARKET INC,400 N WATER ST,4,8/5/2020,A
FOND DU LAC SMOKE SHOP,2910 W FOND DU LAC AV,15,6/12/2020,A
FOND DU LAC SUPERFOODS,10212 W FOND DU LAC AV,5,5/17/2019,A
FONTELLES EATERY #0278,625   S 5TH ST,,8/29/2019,MA
FOOD SERVICES,1051 E RUSSELL AV,14,4/24/2018,A
FOOD SERVICES,1000 N BROADWAY,,8/5/2019,T
"FOOD SERVICES, INC.",1025 N RIVERWALK WA,4,5/15/2018,A
FOOD SERVICES- ROSCOE'S,1121 N MILWAUKEE ST,4,5/16/2018,A
FOOD TOWN & LIQUOR,6608 W FOND DU LAC AV,2,8/4/2020,A
FOOD TOWN MART,3217 W VILLARD AV,1,8/7/2019,P
FOREST HOME PETRO,1645 W FOREST HOME AV,12,1/22/2020,A
FOREST MART,1948 W FOREST HOME AV,12,5/7/2019,A
FOUR POINTS/CORK N CLEAVER,5311 S HOWELL AV #1,13,3/29/2019,A
FOUR SEASONS SKATE PARK,200 N 25TH ST,8,12/20/2019,A
FOX RIVER MART #4,9025 W APPLETON AV,2,6/11/2019,A
FRANK'S POWER PLANT BAY VIEW,2800 S KINNICKINNIC AV,,12/17/2019,A
FRANKLIN HEIGHTS FOOD MART,3177 N 29TH ST,,1/6/2020,A
FRANKS FOOD,2500 S 9TH ST,14,7/24/2020,A
FRED'S DRIVE-IN & CUSTARD STAND,4726 W VLIET ST,10,1/24/2019,A
FREEDOM GROCERY,2909 N HOLTON ST,6,8/20/2019,Temporarily Closed
FREEZ FOOD MART,2526 W HOPKINS ST,6,1/7/2020,A
FREMO'S,6449 W FOND DU LAC AV,2,1/17/2020,A
FRENCH MEADOWS - CONCOURSE C,5300 S HOWELL AV,13,8/7/2018,A
FRESH & SAFE,2224 W KILBOURN AV,4,6/16/2020,A
FRESH FIN POKE,316 N MILWAUKEE ST #100,4,3/10/2020,A
FRESH FOOD,1438 W LINCOLN AV,,3/12/2020,A
FRESH MEAT MARKET,4623 W BURLEIGH ST,7,3/14/2018,B
FRESH THYME FARMERS MARKET,470 E PLEASANT ST,3,11/7/2019,A
"FRESH, FAST, & DELICIOUS",3821 W CENTER ST,15,12/5/2019,A
FRESHFIN POKE,1806 E NORTH AV,3,2/3/2020,A
FRESHII,250 E WISCONSIN AV,,7/10/2019,A
FRIDA,2238 N FARWELL AV,3,7/1/2019,A
FRIDAY'S FRONT ROW SPORTS GRILL,1 S MILLER PARK WA,8,5/23/2019,A
FRITZ'S PUB,3086 S 20TH ST,13,12/10/2018,A
FROZONE,1320 E BRADY ST,3,1/9/2020,A
FRUIT RANCH GIFT CENTER,6301 W BLUE MOUND RD,10,1/13/2020,A
FRYERZ,809 S LAYTON BL,8,6/9/2020,A
FRYERZ,2635 W FOND DU LAC AV,15,8/12/2019,A
FUEL CAFE,818 E CENTER ST,3,1/13/2020,A
FUEL LAND USA,3465 N 60TH ST,10,6/28/2018,A
FULL HOUSE GROCERY,5602 W BURLEIGH ST,10,8/26/2019,A
FULL OF BEANS CAFE,184 S 2ND ST,12,2/17/2020,A
FUNKY FRESH SPRING ROLLS,531 E KEEFE AV,6,12/4/2019,P
FUNKY FRESH SPRING ROLLS-ADDITIONAL SITE,3536 W FOND DU LAC AV,7,7/8/2019,A
FUSHIMI SUSHI SEAFOOD BUFFETT,2116 N FARWELL AV,3,12/18/2019,B
FUSION POKE,1813 E KENILWORTH PL,3,1/17/2020,A
FUSION SUSHI AND DELI,100 E WISCONSIN AV,4,2/5/2020,A
G GROPPI'S FOOD MARKET,1441 E RUSSELL AV,14,12/19/2019,A
G P C QUICKMART,3115 W FOND DU LAC AV,7,8/28/2019,A
G&S SEHRA FOOD MART,6727 W VILLARD AV,2,4/17/2018,A
GALAST FOODS,1622 E NORTH AV,3,12/18/2019,B
GARCIA'S UNIQUE ID #0230,2730 N HUMBOLDT BL,,10/4/2019,MA
GARD'S RESTAURANT & LOUNGE,7170 W BURLEIGH ST,10,8/20/2019,A
GARDEN CAFE,2301 N LAKE DR,3,11/22/2019,A
GARDEN HOMES SCHOOL,2450 W ROOSEVELT DR,1,9/10/2019,A
GARDEN OF EDEN,1011 W HISTORIC MITCHELL ST,12,7/9/2020,A
GARDEN WINE & SPIRITS,1010 W LAYTON AV,13,1/23/2019,A
GARE-BEAR'S,927 N 27TH ST,4,3/3/2020,A
GARFIELD'S 502,502 E GARFIELD AV,6,7/30/2019,A
GARY J'S PUB,3303 S 16TH ST,13,12/16/2019,A
GAS DEPOT,2707 W BURLEIGH ST,7,6/18/2020,A
"GAS N GO ENTERPRISES, INC",1909 W HOPKINS ST,,2/13/2020,A
GATORS PUB,601 E BOLIVAR AV,13,5/23/2019,A
GEE WILLICKERS,2578 N DOUSMAN ST,3,8/30/2019,A
GENE SUPPER CLUB,4323 N 60TH ST,9,1/6/2020,P
GENE'S UNICORN PUB II,3412 W NATIONAL AV,8,12/16/2019,A
GENO BAR & GRILL,3910 W FOND DU LAC AV,7,1/16/2020,A
GENO BAR & GRILL,3910 W FOND DU LAC AV,7,1/16/2020,A
GENO NOTTOLINI'S PIZZA,1800 S 13TH ST,12,12/20/2019,A
GEORGE WEBB,3133 S 92ND ST,11,8/8/2018,A
GEORGE WEBB,6181 S HOWELL AV,13,1/17/2020,A
GEORGE WEBB RESTAURANT,2208 W MITCHELL ST,8,1/14/2019,A
GEORGE WEBB RESTAURANT,9207 W CAPITOL DR,5,4/19/2018,A
GEORGE WEBB RESTAURANT,2935 N OAKLAND AV,3,8/11/2020,A
GEORGE WEBB RESTAURANT (7030),812 N OLD WORLD THIRD ST,4,3/5/2020,A
GIFT OF WINGS,1500 N LINCOLN MEMORIAL DR,4,7/5/2019,A
GIGS PETRO PANTRY,2306 W FOND DU LAC AV,15,11/4/2019,A
GILBERT LIQUOR,2853 N OAKLAND AV,3,5/14/2019,A
GILL GAS,3105 N HOLTON ST,6,4/26/2019,A
GILL GAS,3105 N HOLTON ST,6,4/26/2019,Pending
GILLES FROZEN CUSTARD,7515 W BLUE MOUND RD,10,1/16/2020,A
GINGERZ SPORTZ PUB AND GRILL,3915 S HOWELL AV,13,9/17/2019,A
GINGERZ SPORTZ PUB AND GRILL,3915 S HOWELL AV,13,9/17/2019,A
GLASS + GRIDDLE,1130 S 9TH ST,,7/1/2020,A
GLASS SLIPPER,3250 N 2ND ST,6,12/9/2019,A
GLORIOSO'S APPETITO,1020 E BRADY ST,,8/28/2019,A
GLORIOSO'S ITALIAN MARKET,1011 E BRADY ST,3,12/2/2019,A
GO GREEN,9821 W OKLAHOMA AV,11,6/12/2019,A
GOLD RUSH CHICKEN,2625 W NORTH AV,15,7/20/2020,A
GOLD'S GYM,731 N WATER ST,4,2/5/2020,T
GOLD'S GYM,731 N WATER ST,4,2/5/2020,A
GOLDEN CHICKEN,3032 S 13TH ST,14,10/29/2019,A
GOLDEN CHICKEN,3428 W VILLARD AVE,1,10/29/2019,A
GOLDEN CORRAL,300  W LAYTON AV,13,3/6/2020,B
GOLDEN CORRAL,300  W LAYTON AV,13,3/6/2020,B
GOLDEN FISH & CHICKEN,2532 W WISCONSIN AV,4,2/4/2020,A
GOLDEN NORTHTOWN FOOD,4402 N 27TH ST,1,7/17/2019,T
GOLDEN RUSH CHICKEN (2216),3500 S HOWELL AV,14,2/13/2018,A
GOLDEN SON MARKET,6318 N 76TH ST,2,5/21/2019,A
GOMEZ MEXICAN FOODS #0897,551 W HISTORIC MITCHELL ST,,11/20/2018,Temporarily Closed
GOOD CITY BREWING,2108 N FARWELL AV,3,10/3/2019,A
GOOD HOPE MART,7616 W GOOD HOPE RD,9,7/1/2019,A
GOOD HOPE SERVICE,4230 W GOOD HOPE RD,,7/2/2018,A
GOOD LAND WING CO,2911 N OAKLAND AVE,3,6/25/2020,A
GOODKIND,2457 S WENTWORTH AV,14,1/6/2020,A
GOODPOST FOODS,2201 W NATIONAL AV,11,4/16/2019,Temporarily Closed
GOODSPOST FOODS,2201 W NATIONAL AV,,12/10/2019,A
GOODWILL INDUSTRIES,6055 N 91ST ST,2,3/27/2019,A
GOUDA GIRL GRILL,1125 N 9TH ST,4,2/28/2018,A
GOUDA'S ITALIAN DELI AND BUGSY'S. A BACK ALLEY SALOON,218 N WATER ST,4,10/2/2019,A
GOVEAS SERVICE ID #0058,605 S 94TH ST,10,9/28/2018,MA
GOZ FOODS,3416 N TEUTONIA AV,6,12/11/2019,A
GP PETROLEUM,5990 W GOOD HOPE RD,9,5/20/2019,A
GP2 PETROLEUM,122 W CAPITOL DR,6,1/30/2020,A
GP3 PETROELUM,11131 W HAMPTON AV,5,12/4/2019,A
GPC,8015 N 76TH ST,9,8/28/2019,A
GPC (26396),3500 S 13TH ST,6,7/29/2020,A
GRACE PLACE COFFEE LOUNGE,250 E JUNEAU AV,4,1/27/2020,A
GRAND AVENUE CLUB,201 E MICHIGAN ST,4,11/15/2019,A
GRAND AVENUE MARKET,612 W WISCONSIN AVE,,1/22/2020,A
GRAND CONVENIENT STORE,724 N OLD WORLD THIRD ST,4,1/14/2020,A
GRAND STAY HOTEL & SUITES,6331 S 13TH ST,13,11/29/2018,B
"GRANGE PETRO MART, LLC",1313 W GRANGE AV,13,2/18/2020,A
GRANT MARKET,2100 W GRANT ST,8,3/5/2020,A
GRASSROOTS SALAD COMPANY,111 W WISCONSIN AV,4,4/24/2019,A
GRASSROOTS SALAD COMPANY,111 E WISCONSIN AV,11,2/11/2020,A
GRASSROOTS SALAD COMPANY,111 E WISCONSIN AV,11,2/11/2020,A
"GREAT LAKES DISTILLERY, LLC.",616 W VIRGINIA ST,12,2/17/2020,A
GREAT LAKES DRYHOOTCH,1030 E BRADY ST,3,1/8/2020,A
GREENFIELD PANTRY,1110 W GREENFIELD AV,12,6/18/2020,A
GREN RING II,3305 N MARTIN L KING JR DR,6,2/18/2020,A
GRIEGE,408 W FLORIDA ST #104,,7/8/2020,A
GRILL CITY,2729 W ATKINSON AV,,10/18/2019,T
GRILL-N-CAFE,2611 W STATE ST,4,3/19/2018,A
GS SEHRA FOOD MART,6727 W VILLARD AV,2,4/29/2019,A
GUADALAJARA RESTAURANT #3508,901 S 10TH ST,12,2/26/2020,A
GUANAJUATO MEXICAN RESTAURANT,2317 S HOWELL AV,14,8/20/2019,A
GUNNY FOOD MART,2033 W MITCHELL ST,8,10/23/2019,A
GURNOOR FOOD MART,204 E CENTER ST,6,5/11/2018,A
GURU FOOD,4028 W LISBON AV,15,1/30/2020,A
GYPSY TACO #0672,621 S 4TH ST,12,12/27/2018,MT
GYRO 27,5308 N 27TH ST,1,5/1/2019,A
GYRO MKE,700 W WISCONSIN AV,4,2/3/2020,A
GYRO PALACE,602 S 2ND ST,12,8/3/2020,A
GYROS CORNER,5914 W APPLETON AV,10,1/13/2020,A
H & I FOOD,7800 W APPLETON AV,5,10/29/2018,A
HACIENDA BEER CO.,2018 E NORTH AVE,,1/24/2020,A
HAJ'S RED HOTS,2100 W HOPKINS ST,6,11/7/2019,T
HAJ'S RED HOTS,2100 W HOPKINS ST,6,11/7/2019,B
HAKOTE FOOD MART,3830 W BURLEIGH ST,7,11/29/2019,A
HAMPTON ASIAN FOOD,6816 W HAMPTON AV,2,6/12/2019,A
HAMPTON INN,5601 N LOVERS LANE RD,5,12/17/2019,A
HAMPTON INN,1200 W COLLEGE AV,13,10/17/2019,A
HAMPTON INN & SUITES MILWAUKEE DOWNTOWN,176 W WISCONSIN AV,4,11/29/2018,A
HAMPTON MOBIL,4780 N 76TH ST,2,1/28/2020,A
HAMPTON QUICK MART,5835 W HAMPTON AV,7,1/17/2020,A
HANNA FOOD,2778 N 59TH ST,10,6/30/2020,A
HANNAWI MEAT AND DELI,4737 W CENTER ST,15,7/20/2020,A
HAPPY FACE FOOD MART,2039 W GREENFIELD AV,8,9/24/2019,A
HARBIN FOOD AND BEER,3100 W MITCHELL ST,,7/9/2020,A
HARBOR HOUSE,550 N HARBOR DR,4,9/4/2019,A
HARP & SHARMOCK,2106 W WELLS ST,4,6/25/2020,A
HARRY'S ON BRADY,1234 E BRADY ST,3,11/12/2019,A
HASHAM PETROLEUM LLC,9130 W HAMPTON AV,5,1/6/2020,A
HAWG CITY CATERING,3135 S 92ND ST,11,12/6/2019,A
HAWLEY FOOD MART,683 S HAWLEY RD,10,1/13/2020,A
HAWLEY ROAD MOBIL,5602 W VLIET ST,10,1/22/2020,A
HAWTHORNE COFFEE ROASTERS,4177 S HOWELL AV,,7/24/2020,A
HAYAT PHARMACY,1919 W NORTH AVE,15,4/8/2019,A
HAYAT PHARMACY,1919 W NORTH AV,15,1/8/2020,A
HAYAT PHARMACY,5928 W VLIET ST,,1/24/2020,A
HAYAT-CARTER HERBAL,2400 W BURLEIGH ST,,8/26/2019,A
HEARTLOVE PLACE,1927 N 4TH ST,6,11/7/2018,A
HEAVENLY ROASTED NUTS FP-10 #007 SECTION 119,201 S 46TH ST,,5/22/2019,A
HEAVENLY ROASTED NUTS LOGE PORTABLE LP-16 #029 SECTION 224,201 S 46TH ST,10,5/22/2019,A
HEAVENLY ROASTED NUTS TERRACE PORTABLE TP-19 #048 SECTION 427,201 S 46TH ST,10,5/22/2019,A
HEAVENS TABLE CATERING & BBQ,2238 N FARWELL AV,3,7/1/2019,A
HEIRESS LOUNGE & NETWORKING CAFE,906 E CENTER ST,3,9/24/2018,A
HELWIG CARBON PRODUCTS,8900 W TOWER AV,9,3/29/2019,A
HEMP WORLD CAFE,2225 N HUMBOLDT AV,,9/4/2019,A
HENRY AND BOBBIE'S BUNGALOW,3466 N 14TH ST,6,1/22/2020,A
HENRY AND BOBBIE'S BUNGALOW,3416 N 14TH ST,,1/27/2020,A
HENRY'S TAVERN,2523 E BELLEVIEW PL,3,3/9/2020,A
HI FI CAFE,2460 S KINNICKINNIC AV,14,7/10/2019,A
HI FI CAFE,2460 S KINNICKINNIC AV,14,7/10/2019,A
HI HAT LOUNGE & GARAGE,1701 N ARLINGTON PL,3,9/25/2019,A
HIGHLAND LANES,5830 W VLIET ST,10,4/18/2019,A
HILTON GARDEN INN (13954),11600 W PARK PL,5,3/22/2019,A
HILTON GARDEN INN (26958),11600 W PARK PL,5,3/22/2019,A
HILTON GARDEN INN-MILW AIRPORT,5890 S HOWELL AV,13,6/6/2019,A
HILTON MILWAUKEE CITY CENTER- 5TH FLOOR BANQUET FACILITY,509 W WISCONSIN AV,4,11/11/2019,A
HILTON MILWAUKEE CITY CENTER- CAFE & MILWAUKEE CHOPHOUSE,509 W WISCONSIN AV,4,11/11/2019,A
HILTON MILWAUKEE CITY CENTER- THIRD FLOOR,509 W WISCONSIN AV,4,11/11/2019,A
HILTON MILWAUKEE CITY CENTER-MILLER TIME PUB,509 W WISCONSIN AV,4,11/11/2019,A
HILTON MILWAUKEE CITY CENTER-MILLER TIME PUB,509 W WISCONSIN AV,4,11/11/2019,A
HIMALAYAN OIL,3515 S 13TH ST,13,1/24/2020,P
HISSHO SUSHI,777 E WISCONSIN AV,4,12/3/2019,A
HISSHO SUSHI @ METRO MARKET #6374,1123 N VAN BUREN ST,4,1/28/2020,A
HISSHO SUSHI @ PICK N SAVE #6868,605 E LYON ST,3,1/18/2019,Temporarily Closed
HISSHO SUSHI @ PICK N SAVE 6878,250 W HOLT AV,14,11/26/2019,A
HMONG TOWN MARKET,8340 W APPLETON AV,2,7/31/2019,A
HOLEY MOLEY,316 N MILWAUKEE ST,4,1/13/2020,A
HOLIDAY INN & SUITES MILWAUKEE AIRPORT,545 W LAYTON AV,13,7/30/2020,A
HOLIDAY INN EXPRESS-MILWAUKEE AIRPORT,1400 W ZELLMAN CT,13,1/14/2020,A
HOLTON GAS & FOOD MART,2237 N HOLTON ST,6,7/2/2020,A
HOLTON LIQUOR & FOOD,2301 N HOLTON ST,6,7/2/2020,P
HOLY GROUND CAFE,5409 N GREEN BAY AV,1,2/20/2020,A
HOLY SMOKES BARBEQUE,5908 N 76TH ST,2,10/17/2018,A
HOME 2 SUITES- MILWAUKEE AIRPORT,5880 S HOWELL AV,13,6/13/2019,A
HOME RUN FOODS,3824 W FLORIST AV,1,11/18/2019,A
HOMETOWN,108 W HOWARD AV,13,1/31/2020,P
HOMETOWN,200 N 35TH ST,4,6/30/2020,A
HOMETOWN,3200 S 27TH ST,,2/13/2020,A
