establishment_name,address,district,inspection_date,establishment_grade
ANGIE'S CANDY STORE,2205 S MUSKEGO AV,8,3/11/2020,A
ANH CHAU ORIENTAL MARKET,3170 S 27TH ST,13,6/18/2019,A
ANMOL RESTAURANT,711 W HISTORIC MITCHELL ST,12,10/23/2019,A
ANODYNE COFFEE ROASTING,224 W BRUCE ST,12,1/27/2020,A
ANODYNE COFFEE ROASTING CO (19253),2920 S KINNICKINNIC AV,14,5/17/2019,A
ANODYNE COFFEE ROASTING CO (27764),400 N WATER ST,4,2/19/2020,A
ANSH PETROLEUM,6530 W FOND DU LAC AV,2,7/8/2020,A
ANTICIPATION,6218 S 27TH ST,13,5/4/2018,A
ANTOJITOS EL REY #3700,916 S CESAR E CHAVEZ DR,12,9/17/2019,T
APOLLO CAFE,1310 E BRADY ST,3,7/22/2020,A
APPLEBEE'S NEIGHBORHOOD BAR & GRILL,270 W HOLT AV,14,9/23/2019,T
APPLETON EXPRESS MART,7650 W APPLETON AV,5,10/25/2018,A
ARABIAN NIGHTS HOOKAH LOUNGE,3943 S 76TH ST,11,9/19/2019,A
ARAMARK,780 N WATER ST #1,4,12/18/2019,A
ARAMARK,6555 W GOOD HOPE RD,9,8/29/2019,A
ARAMARK (21931),507 E MICHIGAN ST,4,2/20/2020,A
ARAMARK (21931),507 E MICHIGAN ST,4,2/20/2020,A
ARAMARK OPERATING A CAFE IN NORTHWEST,818 E MASON ST,4,10/30/2019,T
ARAMARK REFRESHMENT SERVICES,11200 W HEATHER AV,9,7/17/2018,A
ARANDA'S ID #551,1531 W LINCOLN AV,12,11/22/2019,MA
ARBY'S,11231 W SILVER SPRING DR,5,3/27/2019,A
ARBY'S ROAST BEEF RESTAURANT,115 W OKLAHOMA AV,14,6/24/2019,A
ARBY'S ROAST BEEF RESTAURANT,115 W OKLAHOMA AV,14,6/24/2019,A
ARCOIRIS BAKERY,1414 S 6TH ST,12,12/3/2019,A
ARDENT,1751 N FARWELL AV,3,9/24/2019,A
ARDENT-RED LIGHT RAMEN,1751 N FARWELL AV,3,9/24/2019,P
ARDENT-RED LIGHT RAMEN,1751 N FARWELL AV,3,9/24/2019,A
ART BAR CAFE & GALLERY,722 E BURLEIGH ST,3,6/17/2019,A
ARTHUR'S MINI MART,2500 S 13TH ST,12,8/15/2019,A
ARTISAN RAMEN,530 E MASON ST,4,11/13/2019,A
AS INC,5168 N 76TH ST,2,7/2/2019,A
ASEEL'S FOOD,1982 S 11TH ST,12,3/5/2020,A
"ASHAR, LLC",2009 W COLLEGE AV,13,2/13/2019,
ASIAN FOODS,2729 W VLIET ST,4,10/3/2019,t
ASIAN FUSION,1609 E NORTH AV,3,11/18/2019,A
ASIAN INTERNATIONAL MARKET,3401 W NATIONAL AV,8,9/18/2019,A
ASIAN PAPAYOYO,2040 W WISCONSIN AV,4,2/13/2020,A
ASTOR STREET BAR & GRILLE,920 E JUNEAU AV,4,9/3/2019,P
ASTOR STREET BAR & GRILLE,920 E JUNEAU AV,4,9/3/2019,A
ATHEN'S FAMILY RESTAURANT,5547 N LOVERS LANE RD,5,7/3/2019,A
ATLAS PREPARATORY ACADEMY (P),1051 E RUSSELL AV,14,2/26/2020,A
ATTARI SUPERMARKET,3042 S 13TH ST,14,3/26/2019,A
AUER COMMUNITY FOODS,3200 N 27TH ST,,6/17/2020,Pending
AUNTIE ANNIE'S- CONCOURSE C,5300 S HOWELL AV,13,9/4/2019,A
AURORA SINAI MEDICAL CENTER,945 N 12TH ST,4,6/24/2020,A
AVALON,2473 S KINNICKINNIC AV,14,2/13/2019,A
AVENUE BAR & GRILL,611 W WISCONSIN AV,4,9/18/2019,A
AVIANDS LLC (RETAIL),3401 S 39TH ST,11,5/16/2018,A
AWAN'S DESI CUISINE,9809 W OKLAHOMA AV,,9/26/2019,Temporarily Closed
B & S FOOD MARKET,3299 N 12TH ST,6,6/20/2019,A
B&G FOODS,2420 S 6TH ST,,12/5/2019,A
BABE'S ICE-CREAM,2264 S KINNICKINNIC AV,14,6/18/2019,A
BABY BOOMERS,182 E LINCOLN AV,14,3/7/2019,A
BACCHUS-A BARTOLOTTA RESTAURANT,925 E WELLS ST,4,12/11/2019,A
BACKDRAUGHT,3631 S CLEMENT AV,14,5/23/2019,A
BAD ENGLISH (PAELLA POLICE) ID#0900,600 S 6TH ST,,6/13/2019,MT
BALISTRERI'S BLUEMOUND INN,6501 W BLUE MOUND RD,10,3/9/2020,A
BALL N BISCUIT CATERING,531 E KEEFE AV,6,12/5/2019,A
BALZAC WINE BAR,1716 N ARLINGTON PL,3,11/12/2019,A
BAMBOO,3427 W NATIONAL AV,8,11/7/2019,A
BAR 107,8775 N 107TH ST,9,8/13/2019,A
BAR LOUIE,1114 N WATER ST,4,11/7/2019,A
BARBIERE'S ITALIAN INN,5844 W BLUE MOUND RD,10,1/15/2020,A
BARNACLE BUD'S,1955 S HILBERT ST,14,10/2/2019,A
BARTOLOTTA CATERING & EVENTS AT THE ITALIAN COMMUNITY CENTER,631 E CHICAGO ST,4,10/21/2019,A
BARTOLOTTA CATERING- GRAIN EXCHANGE,225 E MICHIGAN ST,4,12/11/2019,A
BARTOLOTTA CATERING- PIER WI,500 N HARBOR DR,4,12/17/2019,A
BARTOLOTTA'S LAKE PARK BISTRO,3133 E NEWBERRY BL,3,12/3/2019,A
BATCHES,401 E ERIE ST,4,10/18/2018,A
BAVETTE,330 E MENOMONEE ST,4,11/19/2019,A
BAY STREET PUB,338 E BAY ST,14,2/21/2019,A
BAY STREET PUB,338 E BAY ST,14,3/10/2020,A
BAY VIEW BOWL,2416 S KINNICKINNIC AV,14,7/10/2019,A
BAY VIEW QUICK MART,2690 S KINNICKINNIC AV,14,5/1/2018,A
BAY VIEW SUPERMARKET,2277 S HOWELL AV,14,5/7/2019,A
BAYDQ,245 E HAMPTON AV,,9/3/2020,A
BB'S,633 W WISCONSIN AV,4,6/23/2020,A
BC SUPERMARKET,4225 W NORTH AVE,15,6/18/2020,A
BEAN SPROUTS,10001 W BLUE MOUND RD,10,6/21/2019,A
BEANS & BARLEY,1901 E NORTH AV,3,9/17/2019,A
BEANS & BARLEY,1901 E NORTH AV,3,9/17/2019,P
BEAR GARDEN,10001 W BLUE MOUND RD,10,6/20/2019,A
BEBE'S BISTRO #0074,2308 N TEUTONIA AV,15,8/14/2019,MT
BECHER PETRO PANTRY,610 W BECHER ST,12,3/7/2019,A
BECKER'S SILVER SPUR,3700 W NATIONAL AV,8,1/15/2019,A
BECKERS SILVER SPUR,3700 W NATIONAL AV,8,2/5/2018,A
BEE'S CUSISINE,2336 N FARWELL AV,3,11/1/2018,A
BEER MARKET AND BHARAT MART,1556 N FARWELL AV,3,10/14/2019,A
BEERBELLY'S,512 W LAYTON AV,13,5/20/2019,A
BEERLINE CAFE,2076 N COMMERCE ST,6,7/1/2020,A
BEIJING EXPRESS,1418 S MUSKEGO AV,12,5/14/2019,A
BELAIR CANTINA,1935 N WATER ST,3,8/26/2020,A
BELAIR CANTINA DOWNER,2625 N DOWNER AV,3,1/23/2020,A
"BELIEVERS IN CHRIST MINISTRIES, INC",4065 N 25TH ST,1,9/10/2019,A
BELL THERAPY,6414 W FOND DU LAC AV,2,2/18/2020,A
BELL THERAPY PHOENIX CARE SYSTEMS,5151 W SILVER SPRING DR,1,3/11/2020,A
BELLA CAFE,189 N MILWAUKEE ST,4,3/2/2020,A
BELLA ITALIAN- POTAWATOMI BINGO CASINO/POTAWATOMI HOTEL,1611 W CANAL ST,8,7/31/2019,A
BELLI'S BISTRO & SPIRITS,3001 S KINNICKINNIC AV,14,1/9/2020,A
BELOIT LANES,9150 W BELOIT RD,11,11/19/2019,A
BENIHANA,850 N PLANKINTON AVE,4,11/22/2019,A
BENNY'S CAFE,5354 S 27TH ST,13,9/17/2019,A
BENNY'S PIZZA,1102 W LINCOLN AV,12,3/4/2020,A
BEST FOOD,3405 S 13TH ST,14,3/27/2018,A
BEST FOOD  STORE,3405 S 13TH ST,14,7/17/2020,A
BEST FOOD MARKET,2430 N MARTIN L KING JR DR,6,5/23/2018,A
BEST PETROLEUM,575 W BECHER ST,14,4/22/2019,A
BEST THAI CUISINE RESTAURANT,8340 W APPLETON AV,,8/5/2019,A
BEST WESTERN PLUS MILWAUKEE AIRPORT,5105 S HOWELL AV,13,10/11/2019,A
BETO'S PIZZA,1234 S CESAR E CHAVEZ DR,,8/5/2020,P
BETTY BRINN CHILDREN'S MUSEUM,929 E WISCONSIN AV,4,6/3/2019,A
BIG EASYZ FISH & CHICKEN #0188,8103 W TOWER AV,,7/10/2020,MA
BIG JIMS LIQUOR,2161 W HOPKINS ST,7,3/9/2020,A
BIGGIE SUBS & DELI,6602 W LISBON AV,,12/6/2019,A
BILL THE BUTCHER,3533 W NORTH AV,15,4/26/2019,A
BINGO POPCORN,1611 W CANAL ST,8,7/31/2019,A
BINGO SNACK BAR 2 SMOKING- POTAWATOMI BINGO CASINO/POTAWATOMI HOTEL,1611 W CANAL ST,8,7/31/2019,A
BIRCH + BUTCHER,459 E PLEASANT ST,3,12/19/2019,A
BJC,1125 N 9TH ST,4,3/12/2018,A
BLACK SHEEP #3605,216 S 2ND ST,12,12/4/2019,A
BLACKBIRD,3007 S KINNICKINNIC AV,14,10/14/2019,A
BLAZE PIZZA,2901 N OAKLAND AV,3,4/1/2019,A
BLAZE PIZZA,2901 N OAKLAND AV,3,4/1/2019,A
BLESSED SACRAMENT CONGREGATION,3100 S 41ST ST,11,5/15/2018,A
BLESSED SACRAMENT CONGREGATION,3100 S 41ST ST,11,11/26/2019,A
BLESSED SAVIOR CATHOLIC SCHOOL- SOUTH,4063 N 64TH ST,2,1/30/2020,A
BLESSED SAVIOR CATHOLIC SCHOOL-EAST,5140 N 55TH ST,1,11/1/2019,A
BLESSED SAVIOR CATHOLIC SCHOOL-WEST,8545 W VILLARD AV,2,10/18/2019,A
BLUE BAT KITCHEN AND TEQUILARIA,249 N WATER ST,4,11/19/2019,A
BLUE EGG'S,317 N 76TH ST,10,10/23/2019,A
BNB CAP TAP,4221 W CAPITOL DR,3,3/26/2019,T
BOLLYWOOD GRILL,1028 N JACKSON ST,4,1/24/2020,A
BOMBAY SWEETS,3401 S 13TH ST,14,11/20/2019,A
BOO-BOO'S,405 S 2ND ST,12,10/30/2019,A
BOSCO'S ON BURLEIGH,1000 E BURLEIGH ST,3,6/17/2019,A
BOSTON MARKET #762,3511 S 27TH ST,13,11/12/2018,
BOSTON MARKET #762,3511 S 27TH ST,13,11/12/2018,A
BOTANAS,816 S 5TH ST,12,2/21/2019,A
BOTANAS II,1421 E HOWARD AV,14,6/4/2019,A
BOUGIE BERRIES 'A DESSERT BOUTIQUE',7157 W BURLEIGH ST,10,8/22/2019,A
BOUNCE MILWAUKEE,2801 S 5TH CT,14,1/29/2020,A
BOWL CUT UNIQUE ID #0277,625 S 6TH ST,,9/17/2019,MA
BOWLS,207 W FRESHWATER WA,12,2/10/2020,A
BOYS & GIRLS CLUS OF GREATER MILWAUKEE,1975 S 24TH ST,8,5/15/2019,A
BP (126087),7965 N 76TH ST,9,6/4/2019,A
BP (23247),2242 S 12TH ST,12,3/21/2019,P
BP (28607),3200 S 27TH ST,13,5/31/2018,A
BP GAS STATION (21894),9040 W SILVER SPRING DR,2,7/17/2020,Temporarily Closed
BP LAPHAM,536 W LAPHAM BL,12,1/29/2020,A
BP LISBON,5505 W LISBON AV,10,7/28/2020,A
BP ON  GREENTREE,6829 N 76TH ST,9,9/3/2019,A
BP ON BROWN DEER,9026 W BROWN DEER RD,9,5/7/2018,A
BP ON FOND DU LAC,6003 W FOND DU LAC AV,2,2/3/2020,A
BRADFORD BEACH,2400 N LINCOLN MEMORIAL DR,3,8/31/2018,A
BRAISE RESTAURANT,1101 S 2ND ST,12,1/15/2020,A
BRASS KEY RESTAURANT,4952 W FOREST HOME AV,11,12/4/2019,P
BRASS MONKEY II,700 W LAYTON AV,13,2/18/2020,A
BREMEN CAFE,901 E CLARKE ST,3,7/26/2019,A
BREW BAYOU,1442 W WISCONSIN AV,4,9/6/2019,A
BREW BAYOU,1442 W WISCONSIN AV,4,3/6/2018,A
BREW CITY TAP,3105 W FOREST HOME AV,8,2/20/2020,A
BREWED CAFE,1208 E BRADY ST,3,6/28/2019,P
BREWSKI'S SPORTS CLUB,304 S 76TH ST,10,2/24/2020,A
BREWTOWN EATERY,5121 W HOWARD AV,11,12/20/2019,A
BREWTOWN EATERY,5121 W HOWARD AV,11,11/14/2018,B
BRICK 3 PIZZA,1107 N OLD WORLD THIRD ST,4,7/1/2019,A
BRIGHT FOOD MARKET,2500 W LISBON AV,15,2/26/2020,A
BRIGHT FOOD MARKET,2500 W LISBON AV,15,2/26/2020,P
BRIM CAFE AND CATERING,125 S 84TH ST,10,1/27/2020,A
BROKEN EGG FAMILY RESTAURANT,10843 W PARK PL,,3/5/2020,A
BROTHER PETROL,4137 W FOND DU LAC AV,7,8/22/2019,A
BROTHER SUPERMARKET,2631 W VLIET ST,15,9/18/2019,A
BROTHER SUPERMARKET,2631 W VLIET ST,15,9/18/2019,Pending
BROTHERS FOODS,966 N 27TH ST,4,7/15/2019,A
BROTHERS PETROL,2175 S 35TH ST,8,2/4/2020,A
BROTHERS PUB & GRILL,1209 N WATER ST,4,12/26/2018,A
BROWN DEER MARATHON,10501 W BROWN DEER RD,9,4/26/2019,A
BROWN DEER PARK RESTAURANT,7835 N GREEN BAY RD,,7/29/2019,A
BROWN STREET FOODS,2485 W BROWN ST,15,6/21/2019,A
BROWN STREET FOODS,2485 W BROWN ST,15,9/2/2020,A
BROWNS PLACE,2874 S 7TH ST,14,11/14/2019,A
BRUNCH,800 N PLANKINTON AV,4,5/28/2019,T
BUCK BRADLEY'S EATERY & SALOON,1019 N OLD WORLD THIRD ST,4,7/29/2020,A
BUCKLEY'S,801 N CASS ST,4,10/8/2019,A
BUCKSHOTS BAR,3219 S 13TH ST,14,8/10/2020,A
BUDDHA LOUNGE,1504 E NORTH AV,3,2/20/2018,A
BUDDY'S PIZZA,6239 N TEUTONIA AV,,10/3/2019,A
BUDDY'S PIZZA & STEAK,2410 N MARTIN L KING JR DR,6,11/28/2018,A
BUDDY'S PIZZA AND STEAK,8950 W APPLETON AV,2,4/18/2019,A
BUENAVISTA BANQUET HALL,7507 W OKLAHOMA AV,11,3/4/2020,A
BUENAVISTA TACO TRUCK #0862,7507 W OKLAHOMA AV,11,10/2/2019,MA
BUFFALO BOSS,3536 W FOND DU LAC AV,,9/4/2019,A
BUFFALO WILD WINGS #407,1123 N WATER ST,4,11/26/2019,A
BUFFALO WILD WINGS #415,3636 S 27TH ST,13,10/16/2019,A
BUFFET CITY,8617 W BROWN DEER RD,9,3/5/2019,A
BULLSHOOTER'S SALOON,604 S 64TH ST,10,2/18/2020,A
BUNZEL'S CATERING,8401 W BURLEIGH ST,5,12/10/2018,A
BUNZEL'S MEAT MARKET,9015 W BURLEIGH ST,5,10/28/2019,A
BURBACHS MARKET,5308 W HAMPTON AV,1,8/31/2018,Temporarily Closed
BURGER KING,3219 N 27TH ST,,12/6/2019,A
BURGER KING,2045 E NORTH AV,3,3/9/2018,A
BURGER KING,6544 N 76TH ST,9,1/10/2019,A
BURGER KING #6091,1841 S 14TH ST,12,12/11/2019,A
BURGER KING (2604),5812 W LISBON AV,10,3/11/2020,A
BURGER KING (27769),1400 W WELLS ST,4,5/23/2019,A
BURGER KING (4050),5120 W CAPITOL DR,2,4/24/2019,A
BURGER KING (7027),2862 N MARTIN L KING JR DR,6,2/19/2020,A
BURGER KING (7503),175 W LAYTON AV,13,4/29/2019,A
BURGER KING (7846),4040 N GREEN BAY AV,1,5/29/2019,A
